AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2015-16,40,6.6,6.2,6.3,14,"3,206","51,092",> 100%
National,,All,2015-16,41,6.7,6.3,6.3,7,"3,145","50,034",> 100%
National,,All,2015-16,42,6.8,6.4,6.4,16,"3,227","50,925",> 100%
National,,All,2015-16,43,6.9,6.5,6.3,17,"3,170","50,479",> 100%
National,,All,2015-16,44,7,6.6,6.6,20,"3,355","51,174",> 100%
National,,All,2015-16,45,7.1,6.7,6.4,14,"3,228","50,746",> 100%
National,,All,2015-16,46,7.2,6.8,6.5,13,"3,357","51,810",> 100%
National,,All,2015-16,47,7.3,6.9,6.5,14,"3,337","51,491",> 100%
National,,All,2015-16,48,7.4,7,6.7,22,"3,461","52,063",> 100%
National,,All,2015-16,49,7.5,7.1,6.6,20,"3,537","53,748",> 100%
National,,All,2015-16,50,7.6,7.2,6.7,26,"3,482","52,267",> 100%
National,,All,2015-16,51,7.7,7.3,6.7,15,"3,535","53,204",> 100%
National,,All,2015-16,52,7.8,7.4,7.5,31,"3,924","52,602",> 100%
National,,All,2015-16,1,7.9,7.5,7.7,32,"4,245","55,843",> 100%
National,,All,2015-16,2,8,7.6,7.8,30,"4,283","55,577",> 100%
National,,All,2015-16,3,8,7.6,7.4,36,"4,048","55,219",> 100%
National,,All,2015-16,4,8.1,7.7,7.5,50,"4,116","55,663",> 100%
National,,All,2015-16,5,8.1,7.7,7.5,61,"4,086","55,136",> 100%
National,,All,2015-16,6,8.1,7.7,7.4,93,"3,990","55,458",> 100%
National,,All,2015-16,7,8.1,7.7,7.5,149,"4,051","56,168",> 100%
National,,All,2015-16,8,8.1,7.7,8,187,"4,232","55,198",> 100%
National,,All,2015-16,9,8.1,7.7,8.1,257,"4,250","55,920",> 100%
National,,All,2015-16,10,8,7.6,8.1,294,"4,286","56,206",> 100%
National,,All,2015-16,11,8,7.6,8.3,351,"4,154","54,583",> 100%
National,,All,2015-16,12,7.9,7.5,8.2,295,"4,194","54,808",> 100%
National,,All,2015-16,13,7.8,7.4,7.7,282,"3,896","53,938",> 100%
National,,All,2015-16,14,7.7,7.4,7.8,250,"3,945","54,067",> 100%
National,,All,2015-16,15,7.6,7.3,7.6,196,"3,891","53,490",> 100%
National,,All,2015-16,16,7.5,7.2,7.2,148,"3,684","53,149",> 100%
National,,All,2015-16,17,7.4,7,6.9,127,"3,398","51,027",> 100%
National,,All,2015-16,18,7.3,6.9,6.8,91,"3,403","51,270",> 100%
National,,All,2015-16,19,7.2,6.8,6.5,74,"3,240","51,000",> 100%
National,,All,2015-16,20,7.1,6.7,6.6,34,"3,290","50,469",> 100%
National,,All,2015-16,21,6.9,6.6,6.4,30,"3,198","50,490",> 100%
National,,All,2015-16,22,6.8,6.4,6.1,17,"3,025","49,712",> 100%
National,,All,2015-16,23,6.7,6.3,6.4,17,"3,175","49,917",> 100%
National,,All,2015-16,24,6.6,6.2,5.9,18,"2,920","49,910",> 100%
National,,All,2015-16,25,6.5,6.1,5.8,12,"2,875","49,623",> 100%
National,,All,2015-16,26,6.4,6,5.9,10,"2,914","49,746",> 100%
National,,All,2015-16,27,6.3,5.9,5.9,10,"2,914","49,698",> 100%
National,,All,2015-16,28,6.2,5.9,5.9,6,"2,926","49,637",> 100%
National,,All,2015-16,29,6.2,5.8,5.6,5,"2,767","49,276",> 100%
National,,All,2015-16,30,6.1,5.8,5.7,5,"2,804","49,698",> 100%
National,,All,2015-16,31,6.1,5.7,5.8,2,"2,847","49,506",> 100%
